n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
128,4,0.0004887472965232698,0.9978860888074427,0.9978860888073555,8.715250743307479e-14,0.06641197552700241,2652.4856415314525,2.5037638088271973e-05,0.0005122462068224314,1.1561218936497157,2.080783105578525,0.0010164803154966294,3.3584246494910985e-15
128,4,0.0006578947368421052,0.9971553545368341,0.9971553545367726,6.150635556423367e-14,0.06633626061682994,1723.3140673612475,3.8493424891728855e-05,0.0006892760392395436,1.1553089105893448,2.080373927201378,0.0013677672105203013,4.579669976578771e-15
128,8,6.103515625e-05,0.9996991126256924,0.9996991126257342,4.1744385725905886e-14,0.22854081148776575,58501.736939764756,3.906564547358288e-06,6.852075240582655e-05,1.3511876736296584,2.2278697207994385,0.0001359700775587085,1.1796119636642288e-15
128,8,8.215842490557628e-05,0.9995950000664098,0.9995950000664635,5.3734794391857577e-14,0.22849434598699694,37863.83820146241,6.03463243137807e-06,9.223002935506607e-05,1.351060517208907,2.22780036295906,0.000183017532392596,1.6167622796103842e-15
128,8,0.0001105921111321023,0.9994548717926357,0.9994548717926719,3.6193270602780103e-14,0.22843181743512947,24544.99567610114,9.306655435981514e-06,0.00012414093751064078,1.3508893834159073,2.2277070146783506,0.0002463395785230277,2.3314683517128287e-15
128,8,0.0001488662308060524,0.9992662762882816,0.999266276288246,3.552713678800501e-14,0.22834768119213084,15939.42870572969,1.4325963960681194e-05,0.0001670888745769642,1.3506590762449604,2.2275813839480962,0.00033156228601428656,2.858824288409778e-15
128,8,0.00020038639689163166,0.9990124632612386,0.9990124632612449,6.328271240363392e-15,0.22823448547891298,10371.732473640728,2.2005435066799133e-05,0.00022488804660484205,1.350349159939252,2.2274123177007246,0.0004462537055639291,3.858025010572419e-15
128,8,0.00026973684926251233,0.9986709044085513,0.9986709044086268,7.549516567451064e-14,0.22808222087707994,6764.005449677742,3.371999365966603e-05,0.00030266820995699203,1.3499321612690696,2.2271848186717835,0.0006005918139702335,5.2735593669694936e-15
128,8,0.0003630883581853837,0.9982113091221316,0.9982113091219702,1.6142642778049776e-13,0.22787745240020105,4422.251301205614,5.152973833442619e-05,0.0004073263285745201,1.349371162327066,2.2268787277002056,0.0008082602712237587,7.216449660063518e-15
128,8,0.0004887472965232698,0.997592965894987,0.9975929658950449,5.784261958297066e-14,0.22760216508303582,2899.270884438629,7.850324242024225e-05,0.0005481316033711338,1.3486165831397432,2.2264669602721403,0.0010876481225519249,9.825473767932635e-15
128,8,0.0006578947368421052,0.9967611860780947,0.996761186078146,5.129230373768223e-14,0.2272322350890428,1906.618819822972,0.00011918073645687665,0.0007375345825652882,1.3476018921512636,2.225913151320109,0.0014634537484024385,1.2989609388114332e-14
128,53,6.103515625e-05,0.995686218247426,0.9956862182472825,1.4344081478157023e-13,40.652337972611306,80743.11633296519,0.0005034774457425057,0.00032489357366145556,1.5135369308498847,10.550623985956776,0.0006439196817794797,3.83026943495679e-15
128,53,8.215842490557628e-05,0.9942031353627432,0.994203135362616,1.2723155862204294e-13,40.46692188783201,54386.51856479707,0.0007440616343114331,0.00043704289461285906,1.5128628644659465,10.539370153879613,0.0008658269163639008,5.773159728050814e-15
128,53,0.0001105921111321023,0.9922147041111676,0.9922147041109408,2.2681856393091948e-13,40.2185096270339,36819.27804720359,0.0010923220595328454,0.0005877702507885679,1.5119571440392139,10.52427497130496,0.0011637730830892231,7.605027718682322e-15
128,53,0.0001488662308060524,0.9895523613004604,0.9895523613004205,3.9968028886505635e-14,39.886236252351715,25057.59368955526,0.0015917823852725917,0.0007902378925671459,1.5107409077406697,10.504051746603723,0.0015634658444413716,7.771561172376096e-15
128,53,0.00020038639689163166,0.9859942007451503,0.9859942007450346,1.156852391659413e-13,39.442754524524176,17145.230851170512,0.0023005088042796114,0.0010620124803784857,1.5091090459435716,10.477002288568046,0.002099028122149158,1.176836406102666e-14
128,53,0.00026973684926251233,0.9812503639566137,0.9812503639565371,7.66053886991358e-14,38.852560441424224,11795.660682455615,0.003293801126308418,0.00142647058697301,1.5069219396788178,10.440900685385149,0.0028155362004748945,1.7319479184152442e-14
128,53,0.0003630883581853837,0.9749462236281474,0.974946223628006,1.4144241333724494e-13,38.07015894322272,8159.898476219036,0.0046655187015099825,0.0019145992748993094,1.503994971382657,10.392856402902867,0.0037721555424237363,2.4646951146678475e-14
